manufactor,model,Price,Description,Cre_date,Repub_date,Year,Hand,Gear,capacity_Engine,Engine_type,Km,Test,Color,Prev_ownership,Curr_ownership,Area,City,Pic_num
ניסאן,ניסאן טידה,10600.0,"רכב פיצוץ נוסע חלק אמין מרווח שמור מטופל, ברקסים+צלחות קדמיים חדשים! רצועת מנוע חדשה! הוחלפו 3 גלגלים- אחריות לשנה!",2022-10-24,2022-11-08,2008,4,אוטומטית,1600,בנזין,236000,,אפור מטאלי,פרטית,פרטית,מודיעין והסביבה,מודיעין עילית,0
ניסאן,ניסאן טידה,12500.0,"רכב במצב מצוין, אחרי טיפול גדול, מזגן קור וחום עובד מעולה! נקי ושמור!!!",2022-10-12,2022-10-12,2009,3,אוטומטית,1600,בנזין,200000,,אפור מטאלי,פרטית,פרטית,באר שבע והסביבה,באר שבע,0
ניסאן,ניסאן מיקרה,31000.0,"רכב שמור, נהג יחיד, מטופל תמיד בזמן במוסך מורשה של ניסאן. הרכב לאחר טיפול גדול וטסט. כולל מובילאיי וחימום למושבים.",2022-08-31,2022-09-12,2016,2,ידנית,1200,בנזין,109000,,כסף מטלי,פרטית,פרטית,ירושלים והסביבה,ירושלים,0
ניסאן,ניסאן ג'וק JUKE,73000.0,ניסן גו'ק אסנטה בלאק7/2018 עם טסט לכמעט שנה שמורה מאוד יד 2 פרטית (גם יד ראשונה פרטית),2022-08-29,2022-08-29,2018,2,אוטומטית,1600,בנזין,85000,,אפור עכבר,פרטית,פרטית,נס ציונה - רחובות,רחובות,0
ניסאן,ניסאן ג'וק JUKE,30000.0,,2022-08-15,2022-08-15,2011,5,אוטומטית,1600,בנזין,130000,,שחור,פרטית,פרטית,טבריה והסביבה,מגאר,0
ניסאן,ניסאן טידה,8000.0,,2022-06-26,2022-06-26,2010,4,אוטומטית,1600,בנזין,250000,,כסוף,פרטית,פרטית,None,תל שבע,0
ניסאן,ניסאן ג'וק JUKE,30000.0,רכב במצב שמור מאוד. מולטימדיה 10 אינץ' חדשה וחיישנים רוורס .צמיגים חדשים מצבר חדש ( עדיין באחריות) נעשה טיפול גדול ( לא מזמן).צריך לתקן מדחס של המזגן לכן קצת גמישה במחיר .,2022-05-27,2022-05-27,2011,3,אוטומטית,1600,בנזין,169700,,לבן,פרטית,פרטית,רעננה - כפר סבא,רעננה,0
ניסאן,ניסאן מיקרה,49000.0,שמורה כל התוספות,2022-04-06,2022-05-22,2018,1,אוטומטית,1200,בנזין,69000,,כחול בהיר,פרטית,פרטית,מושבים בשרון,אבן יהודה,0
ניסאן,ניסאן מקסימה,99000.0,שמורה מאוד כל התוספות,2022-05-21,2022-05-21,2016,1,אוטומטית,3500,בנזין,119000,,לבן מטאלי,פרטית,פרטית,מושבים בשרון,אבן יהודה,0
ניסאן,ניסאן אלמרה,3000.0,מוכרים עקב מעבר ל-7 מקומותמצב מכני טוב פרט לנזילה שקיימת בצינור של שמן הגה. ניתן לקנות את הרכב למטרת נהיגה או למטרת פירוק.גמיש במחיר,2022-05-03,2022-05-03,2002,2,אוטומטית,1800,בנזין,190000,,אפור,פרטית,פרטית,אשדוד - אשקלון,אשדוד,0
